#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  5.32e+05  |3506808011|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.76614050|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.53079030|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.15709918|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.15564834|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.20652114|  PASSED  
        diehard_opso|   0|   2097152|     100|0.73323742|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.57711317|  PASSED  
         diehard_dna|   0|   2097152|     100|0.87224538|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.05402393|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.40419002|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.96805407|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.00316250|   WEAK   
    diehard_3dsphere|   3|      4000|     100|0.13484728|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.15520947|  PASSED  
        diehard_sums|   0|       100|     100|0.00105252|   WEAK   
        diehard_runs|   0|    100000|     100|0.16584597|  PASSED  
        diehard_runs|   0|    100000|     100|0.24027920|  PASSED  
       diehard_craps|   0|    200000|     100|0.01181878|  PASSED  
       diehard_craps|   0|    200000|     100|0.06766357|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.79766597|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.22086652|  PASSED  
         sts_monobit|   1|    100000|     100|0.97677073|  PASSED  
            sts_runs|   2|    100000|     100|0.34881164|  PASSED  
          sts_serial|   1|    100000|     100|0.45161934|  PASSED  
          sts_serial|   2|    100000|     100|0.95698561|  PASSED  
          sts_serial|   3|    100000|     100|0.95826638|  PASSED  
          sts_serial|   3|    100000|     100|0.36238390|  PASSED  
          sts_serial|   4|    100000|     100|0.20097492|  PASSED  
          sts_serial|   4|    100000|     100|0.49881145|  PASSED  
          sts_serial|   5|    100000|     100|0.68682797|  PASSED  
          sts_serial|   5|    100000|     100|0.55064356|  PASSED  
          sts_serial|   6|    100000|     100|0.79152843|  PASSED  
          sts_serial|   6|    100000|     100|0.56105046|  PASSED  
          sts_serial|   7|    100000|     100|0.82958075|  PASSED  
          sts_serial|   7|    100000|     100|0.66896572|  PASSED  
          sts_serial|   8|    100000|     100|0.03208729|  PASSED  
          sts_serial|   8|    100000|     100|0.00825240|  PASSED  
          sts_serial|   9|    100000|     100|0.08535788|  PASSED  
          sts_serial|   9|    100000|     100|0.78135065|  PASSED  
          sts_serial|  10|    100000|     100|0.97009292|  PASSED  
          sts_serial|  10|    100000|     100|0.87178089|  PASSED  
          sts_serial|  11|    100000|     100|0.85970289|  PASSED  
          sts_serial|  11|    100000|     100|0.48450816|  PASSED  
          sts_serial|  12|    100000|     100|0.79015808|  PASSED  
          sts_serial|  12|    100000|     100|0.23486173|  PASSED  
          sts_serial|  13|    100000|     100|0.62915462|  PASSED  
          sts_serial|  13|    100000|     100|0.86763672|  PASSED  
          sts_serial|  14|    100000|     100|0.98883457|  PASSED  
          sts_serial|  14|    100000|     100|0.85518558|  PASSED  
          sts_serial|  15|    100000|     100|0.64567940|  PASSED  
          sts_serial|  15|    100000|     100|0.16496221|  PASSED  
          sts_serial|  16|    100000|     100|0.07016142|  PASSED  
          sts_serial|  16|    100000|     100|0.00850491|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.35719975|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.03307781|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.33085176|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.57639856|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.85578802|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.99435086|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.87355019|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.37697049|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.99372638|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.14038997|  PASSED  
         rgb_bitdist|  11|    100000|     100|0.14257808|  PASSED  
         rgb_bitdist|  12|    100000|     100|0.50831298|  PASSED  
